"hosun","name","avgprice","gongsil","size_under","size_over","yn","역번호","승차","하차","address","lon","lat"
"7호선","마들",60907.6935467633,0.3,2,18,1,2714,9770.55921052631,9232.26315789474,"서울특별시 노원구 상계동 650 마들역",127.0569843,37.6675895
"7호선","먹골",253563.986874487,0.875,1,7,1,2720,8662.18421052631,8394.09868421053,"서울특별시 중랑구 묵동 189-5 먹골역",127.07774,37.60965
"7호선","면목",146436.901100901,0.438,6,10,1,2723,12914.5789473684,12489.4473684211,"서울특별시 중랑구 면목동 282-6 면목역",127.0873411,37.5891527
"7호선","반포",91401.4157491114,0.308,6,7,1,2735,4985.93421052632,4846.61184210526,"서울특별시 서초구 잠원동 103 반포역",127.01151,37.50796
"7호선","보라매",228758.52066715,0.75,2,2,1,2744,7783.65789473684,7742.65131578947,"서울특별시 동작구 대방동 466-51 보라매역",126.9205715,37.4998737
"7호선","부천시청",174153.621601501,0,3,1,0,2757,9926.09868421053,9809.36842105263,"경기도 부천시 원미구 중동 1243 부천시청역",126.7640247,37.5045522
"7호선","부천종합운동장",155671.982758621,0,0,1,0,2754,3806.65131578947,3278.50657894737,"경기도 부천시 원미구 춘의동 15-1 부천종합운동장역",126.797498,37.505452
"7호선","부평구청",107109.834253294,0,0,2,0,2761,9501.98684210526,7743.49342105263,"인천광역시 부평구 갈산동 193-45 부평구청역",126.72091,37.508073
"7호선","사가정",314849.987965976,0.364,4,7,1,2724,13253.9539473684,13182.5855263158,"서울특별시 중랑구 면목동 495 사가정역",127.0843345,37.5817877
"7호선","삼산체육관",206711.972972973,0,0,1,0,2759,3906.19078947368,3494.15131578947,"인천광역시 부평구 삼산동 466 삼산체육관역",126.7368787,37.5068138
"7호선","상도",167088.310835868,0.6,2,3,1,2741,8612.86842105263,8219.88157894737,"서울특별시 동작구 상도1동 702-1 상도역",126.9476764,37.5028025
"7호선","상동",303811.417420276,0,0,2,0,2758,10796.0065789474,11074,"경기도 부천시 원미구 상동 633 상동역",126.753163,37.505814
"7호선","상봉",200863.188264607,0.75,0,8,1,2722,14500.5986842105,13711.7631578947,"서울특별시 중랑구 상봉동 160-7 상봉역",127.0843699,37.5959947
"7호선","수락산",73896.1008961739,0.6,0,10,1,2713,10869.2697368421,10823.8157894737,"서울특별시 노원구 상계동 1132-9 수락산역",127.0553068,37.6771548
"7호선","숭실대입구",94108.9747245344,0.25,3,5,1,2740,9840.07236842105,9829.63157894737,"서울특별시 동작구 상도동 514 숭실대입구역",126.95395,37.49567
"7호선","신대방삼거리",123536.694502967,0.75,2,10,1,2743,13583.3947368421,12955.7434210526,"서울특별시 동작구 대방동 406-10 신대방삼거리역",126.92836,37.49952
"7호선","신중동",313896,0.5,0,2,1,2756,11669.0855263158,11632.5065789474,"경기도 부천시 원미구 중동 1140-6 신중동역",126.7762146,37.501902
"7호선","신풍",160458.257160268,0.778,4,5,1,2745,9308.74342105263,8897.18421052631,"서울특별시 영등포구 신길동 3599 신풍역",126.9094236,37.5002786
"7호선","어린이대공원",354848.876404494,0.917,3,9,1,2728,9784.44736842105,9608.54605263158,"서울특별시 광진구 화양동 164-1 어린이대공원역",127.0739401,37.5471129
"7호선","온수",185808.500278365,0.625,3,5,1,2752,8277.83552631579,7803.69078947368,"서울특별시 구로구 온수동 53-1 온수역",126.823042,37.492097
"7호선","용마산",176068.75,0.857,1,6,1,2725,5063.88157894737,4857.05263157895,"서울특별시 중랑구 면목동 1382-13 용마산역",127.086818,37.573793
"7호선","이수",164149.968790351,0.696,9,14,1,2738,13400.8486842105,13178.1381578947,"서울특별시 동작구 사당동 144-4 이수역",126.980963,37.4849508
"7호선","장승배기",151266.925507597,0.714,0,7,1,2742,8448.61184210526,8180.05921052632,"서울특별시 동작구 상도동 26-20 장승배기역",126.9385948,37.5045422
"7호선","중계",157356.178006132,0.8,4,6,1,2716,11927.0657894737,10710.0197368421,"서울특별시 노원구 중계동 503-3 중계역",127.0652144,37.6425631
"7호선","중곡",170534.41410694,0.75,1,3,1,2726,8118.09868421053,7563.30263157895,"서울특별시 광진구 중곡동 273-2 중곡역",127.084086,37.565535
"7호선","중화",225066.104230618,0.5,4,10,1,2721,9356.21710526316,9043.23684210526,"서울특별시 중랑구 중화동 50-3 중화역",127.079416,37.601757
"7호선","천왕",84091.3063180339,0,0,2,0,2751,8105.69736842105,7462.86842105263,"서울특별시 구로구 오류동 174-6 천왕역",126.838681,37.486686
"7호선","철산",509684.421378494,0,2,4,0,2749,18295.4276315789,18786.5460526316,"경기도 광명시 철산동 526 철산역",126.8679003,37.4760554
"7호선","청담",111489.449101328,0.706,2,15,1,2731,15661.1578947368,17476.6776315789,"서울특별시 강남구 청담동 77-76 청담역",127.0520336,37.5191066
"7호선","춘의",173535.984848485,0,0,1,0,2755,7448.69736842105,7260.21052631579,"경기도 부천시 원미구 춘의동 145 춘의역",126.786654,37.504668
"7호선","태릉입구",183709.421367919,0.727,3,8,1,2719,6892.69078947368,6361.86184210526,"서울특별시 노원구 공릉동 616-4 태릉입구역",127.0751197,37.6191035
